Name,Value, Ball Control, Dribbling, Marking, Slide Tackle, Stand Tackle, Aggression, Reactions, Att. Position, Interceptions, Vision, Composure, Crossing, Short Pass, Long Pass, Acceleration, Stamina, Strength, Balance, Sprint Speed, Agility, Jumping, Heading, Shot Power, Finishing, Long Shots, Curve, FK Acc., Penalties, Volleys, GK Positioning, GK Diving, GK Handling, GK Kicking, GK Reflexes,Tag
27,40000000,58,58,88,90,89,94,84,40,88,48,68,46,67,61,65,64,84,49,75,63,76,82,63,46,56,44,47,57,23,9,8,15,5,10,3
28,12000000,55,56,92,90,92,90,78,28,88,50,78,56,55,55,69,69,91,65,78,60,89,80,78,33,49,60,31,50,45,4,3,3,2,3,3
29,25000000,22,12,11,12,13,17,86,13,23,17,70,19,35,33,45,32,65,34,52,49,51,19,21,12,11,13,19,23,17,85,83,90,77,85,2
30,20000000,28,26,10,11,11,38,80,12,28,50,80,13,37,35,49,39,69,49,43,55,75,13,39,15,13,20,13,22,17,90,87,88,68,84,2
31,50000000,93,90,57,56,57,58,88,85,68,94,88,79,92,86,74,64,59,86,73,82,54,54,65,73,74,80,70,71,74,13,6,13,6,7,1
32,30000000,16,12,14,18,12,34,84,11,19,55,55,13,29,26,43,41,78,49,60,67,76,15,22,11,12,13,14,11,13,87,83,90,77,82,2
33,70000000,85,87,25,30,42,65,84,83,55,88,81,88,84,80,77,68,70,73,75,82,54,62,86,82,91,87,86,81,91,5,15,15,15,14,1
34,45000000,84,82,82,84,84,69,84,77,86,78,79,82,84,80,86,88,67,77,86,83,82,76,83,63,83,78,83,80,68,15,5,7,14,9,1
35,75000000,82,75,31,44,41,57,92,96,58,81,83,74,81,68,76,90,67,72,79,77,81,82,77,89,80,81,59,60,83,14,6,7,11,14,1
36,60000000,82,74,83,80,86,86,83,77,87,85,82,62,89,79,53,88,77,55,33,58,66,68,61,60,54,66,68,60,44,9,5,8,13,13,3
37,55000000,86,89,30,35,39,80,84,85,42,82,82,80,80,73,88,85,66,87,84,90,85,65,82,83,80,78,78,77,78,12,10,10,15,13,1
38,40000000,83,76,76,84,89,91,89,80,89,80,86,76,84,82,79,93,77,77,76,75,82,81,84,77,85,76,68,84,78,2,4,2,4,4,1
39,38000000,77,68,85,86,91,67,85,56,90,79,91,64,77,82,62,67,86,58,65,64,68,90,71,55,51,65,53,68,60,5,15,6,10,6,3
40,55000000,87,87,37,56,59,76,81,83,38,85,82,90,83,82,86,78,64,79,88,90,72,53,87,75,79,83,72,73,77,12,10,7,11,11,1
41,40000000,75,68,84,88,88,82,84,38,90,74,82,44,75,83,64,73,85,54,74,60,85,84,74,37,65,56,61,70,55,2,2,2,3,4,3
42,40000000,87,84,52,53,65,67,79,80,69,87,81,81,87,92,67,76,63,66,65,71,51,49,84,83,88,88,84,78,80,5,14,11,12,9,1
43,60000000,87,83,13,12,15,65,83,87,22,85,82,75,86,47,79,74,78,60,82,77,70,78,83,88,78,79,73,82,79,5,13,11,5,7,1
44,40000000,24,18,17,13,10,25,83,12,22,41,72,12,36,34,54,41,71,36,57,42,78,10,22,10,19,12,14,23,12,86,86,89,69,86,2
45,45000000,90,85,23,29,30,51,84,81,41,92,92,85,91,78,72,68,56,88,65,92,66,54,71,70,74,83,77,77,80,1,1,1,1,1,1
46,11000000,89,91,29,26,26,47,87,85,39,83,86,80,84,71,87,68,65,91,86,89,61,51,86,84,88,86,83,80,86,5,10,8,11,15,1
47,16000000,22,16,8,18,15,28,81,7,22,53,62,9,37,33,46,43,68,44,52,52,73,13,23,9,14,9,8,23,10,86,85,86,76,83,2
48,35000000,84,80,81,83,84,75,82,77,83,68,75,83,79,70,93,90,66,86,93,90,81,63,64,73,66,77,64,59,60,6,13,15,13,13,1
49,45000000,81,81,28,36,25,45,86,87,48,77,79,77,77,64,95,79,77,66,96,80,76,78,79,88,78,78,74,82,84,9,6,9,15,9,1
50,30000000,90,88,29,45,48,57,76,80,42,88,86,87,87,85,79,74,76,80,75,78,48,59,78,76,83,90,91,76,79,14,11,15,9,12,1
51,28000000,85,82,72,78,78,78,86,82,82,84,84,76,87,85,77,82,72,76,77,81,67,68,82,65,82,78,78,78,76,2,4,3,4,4,1
52,30000000,79,73,83,83,85,85,86,70,87,77,85,75,84,79,79,94,78,79,79,77,83,73,74,65,66,65,52,56,72,10,8,11,5,14,1
53,30000000,87,83,80,87,84,84,85,69,83,75,76,87,81,76,77,82,77,82,80,77,77,70,83,67,66,80,67,59,54,5,12,5,5,9,1
54,45000000,87,80,62,62,63,45,83,80,50,91,92,86,92,91,65,80,64,77,62,65,68,74,77,76,75,77,81,80,81,15,6,10,8,15,1
55,30000000,67,62,89,89,90,83,82,43,88,53,80,48,65,65,74,65,81,58,76,62,82,84,70,43,41,32,39,49,51,13,12,6,10,12,3
56,35000000,90,90,13,26,25,52,86,81,36,86,86,81,86,75,85,64,60,91,79,90,50,41,76,76,73,83,81,80,80,7,15,6,9,10,1
57,30000000,76,59,86,84,87,68,81,58,88,62,76,57,83,80,54,69,83,44,67,58,74,82,62,64,51,58,43,69,57,15,10,11,14,8,3
58,20000000,87,86,56,48,62,64,85,82,55,85,88,85,86,84,77,72,60,91,66,85,71,58,78,77,82,86,78,80,72,7,6,9,5,15,1
59,2000000,65,60,90,90,90,74,82,28,92,58,82,40,65,65,69,66,87,65,79,58,85,76,54,27,39,50,31,60,35,2,4,2,4,4,3
60,30000000,68,64,86,87,90,81,84,41,78,59,85,61,65,66,68,68,88,42,69,60,73,84,76,45,55,61,52,63,46,8,10,9,5,6,3
61,35000000,91,90,14,20,20,48,82,85,24,79,82,78,78,58,91,81,65,85,85,91,75,64,80,89,86,86,82,82,82,5,5,4,4,8,1
62,35000000,88,89,25,21,27,39,75,81,38,83,82,83,80,76,86,76,57,80,79,92,59,45,76,79,74,78,72,71,71,11,15,9,13,6,1
63,30000000,85,88,78,74,82,89,87,71,83,84,89,72,90,87,72,77,56,94,64,87,64,55,66,52,58,73,64,64,64,15,12,12,15,10,1
64,40000000,83,85,23,30,29,70,84,86,40,77,86,70,80,68,84,80,77,84,87,87,78,76,81,86,74,74,73,82,82,5,11,6,9,6,1
65,20000000,19,16,12,14,14,32,82,16,20,54,49,11,30,37,54,39,75,61,53,60,74,11,21,15,13,11,15,25,11,80,87,82,72,85,2
66,37000000,89,86,49,55,53,69,83,83,68,85,67,80,85,73,84,85,63,83,82,88,72,53,87,73,75,83,64,72,81,5,5,11,14,7,1
67,32000000,60,41,83,86,86,85,79,49,86,45,76,52,64,66,68,78,82,62,75,71,90,86,69,53,56,50,39,44,56,11,12,5,8,12,3
68,35000000,88,87,24,35,38,35,75,76,30,87,79,74,85,78,89,73,56,91,77,91,59,47,79,70,84,84,79,64,75,14,12,7,9,6,1
69,24000000,87,89,49,51,59,65,84,81,69,88,75,78,87,83,72,75,68,58,75,85,49,63,78,75,78,83,69,75,78,10,14,9,6,12,1
70,30000000,88,87,57,64,64,68,87,77,79,87,86,74,90,83,77,73,74,83,74,85,62,49,77,67,74,81,74,76,75,5,11,14,5,13,1
71,35000000,86,87,43,51,62,44,81,78,55,83,74,75,82,77,92,86,61,82,86,87,46,29,71,75,80,80,85,60,59,7,14,12,13,13,1
72,30000000,89,83,58,64,68,62,84,76,68,88,84,80,89,85,74,79,65,78,74,78,61,60,79,70,84,86,91,79,71,7,7,7,13,8,1
73,45000000,82,79,28,34,39,93,84,88,40,74,84,63,65,48,73,85,91,52,76,58,60,82,83,88,69,58,59,76,81,8,11,13,12,11,1
74,40000000,79,80,24,27,45,82,84,87,48,77,79,70,75,50,74,90,74,59,78,82,88,88,85,84,78,75,74,82,84,13,12,5,13,10,1
75,35000000,86,87,30,43,42,57,84,79,40,85,84,86,84,78,85,71,50,81,80,89,68,54,72,73,74,88,72,71,81,7,8,11,9,5,1
76,27000000,70,61,86,83,88,79,84,56,86,60,81,64,77,81,63,75,81,49,69,60,82,83,86,45,66,63,69,60,38,16,16,6,14,14,3
77,15000000,15,13,11,19,18,40,80,15,23,71,60,12,32,31,58,44,70,64,54,64,81,18,22,13,21,25,60,23,11,78,83,85,87,85,2
78,22000000,67,62,83,85,87,90,78,31,85,56,77,54,75,67,79,73,75,62,78,70,86,84,54,32,47,22,49,51,35,11,13,11,9,7,3
79,30000000,86,83,56,56,69,56,85,84,68,86,77,78,87,81,75,79,69,63,77,76,72,74,76,78,79,80,72,70,79,14,8,6,4,14,1
80,10000000,17,15,10,13,15,37,81,11,23,55,63,14,37,28,53,31,61,36,43,52,74,13,24,13,11,13,12,11,13,81,86,80,79,85,2
81,8000000,15,12,11,11,12,31,77,12,25,49,57,11,33,34,45,37,76,55,50,51,72,12,21,11,11,17,12,25,13,83,82,83,77,87,2
82,30000000,81,77,85,86,83,81,83,71,82,70,78,84,78,77,77,91,74,60,83,74,62,68,71,59,60,74,75,65,56,9,11,15,9,5,1
83,7500000,85,81,70,86,83,85,82,68,83,74,80,82,80,76,84,78,57,87,88,85,78,70,87,60,77,77,74,70,68,6,5,11,9,7,1
84,15000000,82,58,84,85,87,89,83,51,92,68,86,63,79,75,67,86,74,78,65,71,75,68,76,42,55,63,50,60,51,5,6,10,8,5,3
85,30000000,71,55,86,85,88,72,82,54,85,52,68,58,73,78,68,73,84,55,71,49,77,85,70,45,47,62,77,35,40,14,10,11,5,5,3
86,30000000,85,86,65,64,77,81,82,77,76,83,78,61,88,85,72,77,85,64,66,68,58,69,80,68,73,82,68,55,63,14,12,9,6,8,1
87,35000000,81,82,12,14,16,68,82,87,34,66,80,60,72,50,85,74,76,75,85,81,77,74,78,88,70,70,58,76,82,5,12,12,8,8,1
88,30000000,75,57,84,85,86,73,79,44,85,56,66,36,72,74,80,70,84,47,82,58,74,83,52,40,53,46,54,43,42,5,11,11,9,14,3
89,28000000,85,88,25,26,35,48,83,80,36,81,78,78,84,75,77,69,67,75,77,83,76,65,84,77,83,78,72,63,84,13,11,13,5,8,1
90,40000000,82,77,41,38,36,74,84,85,35,72,83,69,75,63,69,84,84,62,77,74,70,82,85,88,78,71,66,82,70,14,8,10,11,11,1
91,30000000,80,70,71,69,75,89,86,78,76,86,73,68,85,89,48,79,76,62,54,55,33,62,88,49,85,68,70,59,50,7,7,8,11,13,4
92,30000000,77,63,75,72,87,89,80,52,85,73,83,59,81,85,66,79,92,52,73,59,75,83,81,42,70,46,62,78,40,6,15,14,8,7,3
93,30000000,89,87,25,37,43,58,78,77,48,84,76,72,84,77,76,69,59,82,69,83,64,55,72,76,80,86,74,76,64,15,10,8,12,6,1
94,30000000,65,54,88,87,86,86,80,25,85,22,71,27,60,61,81,79,82,60,80,69,86,80,43,10,12,30,10,26,16,15,8,6,8,12,3
95,40000000,78,76,27,30,30,72,77,84,27,69,80,68,67,58,76,80,93,48,86,62,71,83,88,84,76,64,66,80,73,7,8,15,14,10,1
96,28000000,90,90,16,23,29,48,83,82,53,82,83,77,85,60,73,65,67,84,67,86,62,49,68,75,56,80,73,65,87,6,14,7,12,10,1
97,35000000,84,86,41,44,58,55,79,78,43,80,73,78,80,72,96,77,60,88,88,90,61,58,87,72,85,81,78,77,73,12,13,15,9,5,1
98,31000000,86,84,38,22,54,44,81,79,45,85,82,84,85,82,78,87,52,81,74,77,57,52,78,75,79,85,87,67,69,7,9,14,7,6,1
99,30000000,64,61,84,83,85,84,83,48,83,49,80,52,66,63,76,79,88,48,77,60,75,86,42,50,35,49,22,52,54,15,10,15,16,15,3
100,30000000,88,90,49,59,58,57,81,81,65,84,76,72,88,83,77,69,59,85,68,90,72,58,75,69,81,83,77,75,90,9,6,11,7,13,1
101,30000000,79,72,76,78,84,83,82,68,86,77,85,68,82,80,66,90,90,53,68,57,71,77,78,64,75,68,67,69,74,14,7,15,12,9,1
102,30000000,81,82,76,82,82,70,80,72,82,70,80,86,77,69,84,91,77,77,90,78,75,68,76,57,68,76,59,59,66,12,7,7,9,5,1
103,35000000,84,81,62,68,74,74,82,83,73,81,80,75,85,80,69,92,69,75,69,77,65,58,81,76,75,70,70,75,79,10,6,11,5,8,1
104,20000000,72,64,87,84,86,74,82,35,85,59,78,49,75,69,75,68,79,61,77,65,82,84,63,28,36,44,33,48,55,12,11,8,11,15,3
105,30000000,79,66,81,84,85,84,79,54,80,68,66,68,78,76,72,77,77,56,73,74,82,83,74,56,71,70,76,75,67,7,11,12,10,14,1
106,16000000,70,60,85,84,84,79,82,51,85,57,82,58,74,64,63,69,81,61,67,65,82,83,62,48,31,38,52,56,38,10,14,6,9,7,3
107,9000000,24,15,12,10,12,36,84,11,23,42,61,14,25,26,38,32,79,36,47,39,72,14,24,11,9,18,11,21,11,85,83,86,51,87,2
108,20000000,85,81,57,61,75,77,84,79,70,88,82,80,88,85,73,69,67,86,69,84,59,45,74,67,77,83,81,67,65,7,13,8,7,10,1
109,33000000,83,80,78,87,85,87,85,83,86,76,84,73,83,80,81,94,78,84,78,81,76,59,83,75,83,73,68,63,75,8,11,11,14,11,1
110,31000000,86,83,25,21,28,52,85,82,39,87,85,83,86,77,75,74,43,89,63,89,72,63,74,77,70,83,84,81,71,5,9,10,14,8,1
111,16000000,23,20,13,11,13,39,80,13,22,63,53,12,31,30,53,45,77,54,57,61,79,11,38,12,11,10,16,32,17,82,85,81,80,83,2
112,10000000,25,15,11,12,19,38,80,15,21,58,57,13,40,31,48,45,68,58,54,55,69,10,23,13,12,12,13,24,8,80,83,82,85,85,2
113,30000000,71,62,80,87,86,87,82,57,84,74,83,60,76,76,49,62,84,58,54,54,71,86,76,55,63,61,45,52,61,11,5,12,9,8,3
114,30000000,77,70,86,86,87,76,87,64,81,68,66,79,80,74,79,88,72,73,79,75,74,69,68,46,60,66,58,66,54,6,13,9,10,5,1
115,30000000,58,58,87,86,88,85,79,50,78,52,80,47,64,61,72,74,86,67,83,63,83,84,79,44,44,37,35,38,46,12,6,8,5,5,3
116,30000000,68,60,83,85,86,73,82,53,87,59,84,45,74,70,67,62,84,42,75,53,43,93,92,57,82,52,76,60,60,8,14,10,14,14,3
117,20000000,73,62,88,82,87,74,77,49,87,63,81,62,72,75,50,80,85,38,54,57,71,86,76,48,60,55,74,66,46,13,14,6,13,14,3
118,35000000,88,84,23,25,36,61,85,87,34,83,83,74,78,73,73,74,61,67,71,82,69,82,80,87,84,85,77,83,85,8,12,11,7,5,1
119,25000000,81,84,15,12,24,60,82,84,22,74,81,62,75,62,88,72,73,64,89,78,74,73,83,85,83,62,68,75,76,5,7,15,9,13,1
120,14000000,86,91,33,23,43,67,75,74,40,81,79,78,79,78,84,75,75,79,80,85,77,65,83,82,82,80,75,87,75,13,12,8,9,12,1
121,15000000,20,23,14,13,14,28,77,14,25,42,66,14,32,35,59,28,61,32,60,50,72,10,65,14,19,17,13,68,19,82,84,81,75,87,2
122,28000000,88,87,54,65,63,80,81,82,61,86,83,82,85,81,78,74,70,77,68,86,79,70,73,72,77,81,64,73,80,12,11,7,11,11,1
123,35000000,80,79,46,49,44,82,85,86,23,73,87,54,71,52,69,66,82,57,71,53,93,94,83,85,80,61,54,77,84,15,14,10,9,9,1
124,30000000,83,77,48,37,54,89,83,85,54,83,89,78,79,85,69,87,84,77,73,77,81,76,86,84,84,84,84,81,85,8,10,11,13,7,1
125,4000000,83,75,70,71,77,78,81,77,86,87,83,79,91,92,32,63,74,67,33,54,46,72,86,56,85,82,84,80,71,10,7,8,10,10,3
126,30000000,23,10,12,24,22,32,82,13,22,65,60,11,19,22,50,34,72,60,63,50,73,13,24,14,15,11,11,24,11,84,80,85,82,83,2
127,12000000,82,79,63,75,76,78,82,80,60,85,83,67,86,83,69,80,91,55,78,60,65,74,86,82,85,80,85,85,68,12,13,14,6,8,1
128,2500000,60,45,86,84,86,80,84,38,86,59,84,42,66,64,33,67,86,46,34,44,80,90,61,46,33,44,31,52,55,15,14,5,6,8,3
129,35000000,76,74,34,24,48,88,84,87,54,72,79,58,73,59,69,91,86,57,76,66,87,92,78,81,73,73,47,72,79,15,10,9,6,11,1
130,30000000,56,47,85,87,86,89,76,24,83,27,60,47,68,58,68,70,83,51,70,57,90,78,72,37,48,36,44,38,30,10,9,11,7,15,3
131,30000000,85,84,67,61,75,61,82,80,78,82,85,77,83,78,75,88,69,70,77,81,63,55,77,72,73,74,67,66,69,8,6,15,8,8,1
132,30000000,78,79,78,71,86,76,74,64,85,77,87,58,83,86,52,85,88,54,53,50,68,72,64,55,63,70,50,62,57,14,6,6,5,14,3
133,30000000,83,76,84,85,83,81,81,61,82,57,69,81,79,71,78,84,75,79,85,82,76,63,64,41,36,72,47,45,34,9,13,13,15,15,1
134,18000000,85,86,21,31,38,48,76,75,37,79,77,79,82,81,93,66,58,78,88,81,66,49,77,80,84,83,80,75,67,9,5,11,15,9,1
135,10000000,22,20,11,12,13,41,80,15,22,55,20,19,35,32,45,31,67,31,51,50,64,14,22,13,17,12,15,21,14,82,80,82,83,84,2
136,35000000,83,85,30,25,39,73,84,82,58,81,82,81,80,67,79,74,62,81,76,84,63,45,74,82,81,83,80,74,65,8,10,15,12,8,1
137,13000000,21,15,13,13,15,35,85,17,25,52,55,19,32,31,60,33,65,62,64,65,85,16,20,18,18,15,14,16,13,77,86,79,76,87,2
138,22000000,84,87,28,33,30,49,81,80,38,79,72,78,81,62,91,76,65,78,90,87,75,48,85,75,78,70,58,57,72,11,10,12,7,10,1
139,35000000,89,87,16,22,24,34,79,82,26,82,72,81,80,72,93,77,44,93,85,95,55,56,68,70,78,78,75,61,74,9,8,4,14,10,1
140,30000000,23,19,14,19,12,25,79,12,19,44,58,11,33,31,57,30,52,30,56,70,75,12,23,11,17,15,13,21,19,78,80,85,71,90,2
141,13000000,74,68,79,84,84,89,84,58,86,72,78,55,78,76,77,93,81,92,76,78,92,68,65,31,59,35,45,62,61,6,14,7,9,6,1
142,30000000,79,76,80,83,82,81,82,74,79,71,75,80,79,71,84,87,84,78,85,76,93,77,78,65,58,69,30,66,50,16,7,10,15,9,1
143,25000000,19,11,15,13,14,31,78,15,20,52,65,11,24,26,51,32,80,37,54,42,75,13,24,10,14,24,66,23,13,81,82,78,79,83,2
144,18000000,18,17,10,10,13,43,80,11,22,57,66,15,30,38,38,35,79,43,50,37,82,11,22,13,10,18,12,25,14,78,84,81,83,85,2
145,30000000,70,49,82,85,83,79,81,50,85,52,70,51,77,69,67,73,81,69,73,66,85,80,66,58,52,55,47,54,51,10,11,9,15,6,3
146,11000000,59,51,86,80,84,86,76,24,86,23,73,29,59,59,56,69,88,55,63,33,79,84,57,11,20,35,26,39,17,8,10,14,5,10,3
147,40000000,85,84,30,31,32,56,83,84,49,74,72,78,83,70,86,78,56,82,78,84,67,55,71,80,73,81,57,66,70,15,5,11,12,9,1
148,16000000,84,87,30,27,24,30,82,80,56,80,81,60,83,74,85,80,39,92,74,92,67,44,47,76,56,74,63,78,75,9,11,9,8,13,1
149,10000000,24,10,10,10,14,30,81,12,22,45,48,13,25,12,45,45,73,37,52,42,76,11,22,13,13,14,12,17,12,80,83,79,79,85,2
150,40000000,84,82,37,47,50,31,81,81,34,83,79,70,83,80,78,76,36,80,77,86,66,54,76,75,77,77,77,68,63,12,12,10,15,12,1
151,28000000,86,83,61,66,64,84,84,80,70,86,80,74,86,80,78,82,62,83,68,84,63,58,70,71,74,76,65,79,67,9,9,12,15,8,1
152,15000000,73,43,85,86,84,78,81,50,85,64,70,55,78,70,70,72,79,59,65,73,83,81,57,48,53,53,45,57,36,6,5,11,12,12,3
153,25000000,74,69,79,88,87,88,83,51,85,69,72,61,80,78,68,83,80,62,67,66,75,75,80,46,71,42,45,58,54,12,10,6,11,13,3
154,25000000,85,82,80,73,78,79,77,75,83,85,82,78,83,84,64,89,62,67,65,73,56,61,83,71,82,77,78,85,78,10,15,6,8,7,1
155,14000000,23,25,17,16,16,32,78,13,23,58,63,15,44,47,60,45,68,62,62,68,84,12,25,10,10,14,10,24,10,79,83,78,75,85,2
156,35000000,77,73,28,48,40,88,86,89,40,62,80,56,71,41,68,79,87,54,72,60,85,90,78,85,57,53,45,76,85,8,10,8,5,15,1
157,35000000,82,83,26,45,45,59,80,82,42,78,80,83,80,72,82,85,77,67,86,78,82,78,83,77,80,73,76,76,80,9,6,7,10,6,1
158,20000000,79,78,76,78,86,82,86,80,86,80,84,72,83,79,64,79,91,55,68,58,69,76,84,70,80,68,68,69,76,15,11,9,5,8,1
159,25000000,82,74,70,85,84,79,84,69,85,81,86,58,86,84,52,74,77,59,52,53,66,61,84,66,81,72,77,75,48,11,13,10,9,8,3
160,25000000,82,69,26,20,37,76,83,84,41,75,78,63,76,56,63,79,88,52,64,60,82,86,84,84,76,70,65,81,81,6,12,15,11,5,1
161,16000000,66,57,84,84,85,84,81,39,78,47,77,45,66,62,68,69,86,54,70,58,79,85,59,49,24,34,27,41,31,7,7,4,8,11,3
162,250000,76,73,77,82,85,78,82,69,87,76,83,69,80,74,66,92,76,66,69,65,77,78,74,59,71,49,47,52,57,12,12,6,7,7,1
163,9500000,87,86,23,28,23,73,81,83,26,85,88,72,78,70,90,75,48,93,88,93,53,37,78,81,80,86,86,75,70,3,6,3,6,3,1
164,23000000,74,66,81,81,85,83,80,65,83,62,82,68,75,74,69,79,81,55,66,62,80,82,86,60,68,58,73,68,52,12,6,10,9,7,1
165,25000000,24,16,13,12,11,42,79,11,21,31,62,14,26,32,52,36,80,41,58,53,38,12,28,12,12,17,15,40,12,80,83,81,74,84,2
166,35000000,79,76,22,25,29,59,82,88,26,72,81,62,70,55,87,75,58,84,79,79,85,82,76,89,69,67,52,80,79,12,14,12,9,11,1
167,25000000,81,77,23,38,34,66,85,87,38,76,85,70,79,71,80,70,64,77,78,83,84,67,84,87,78,76,69,87,79,8,6,10,8,6,1
168,16000000,87,87,30,40,40,59,77,76,36,80,75,76,79,74,92,76,42,92,86,93,60,35,80,71,80,80,77,78,70,10,7,10,8,4,1
169,25000000,15,14,14,15,13,44,80,13,19,64,70,24,33,33,55,43,67,57,54,69,84,20,24,20,22,24,21,24,25,77,88,76,76,87,2
170,6000000,64,59,84,84,85,84,84,40,85,55,62,36,63,54,55,69,83,56,54,62,73,77,29,40,29,33,32,43,34,10,7,11,16,6,3
171,16000000,63,58,83,84,85,78,84,45,83,56,77,28,65,61,69,68,78,51,66,62,82,86,63,56,66,48,27,53,47,5,5,12,9,12,3
172,8000000,69,57,81,80,85,83,81,28,83,53,80,32,72,74,68,73,86,59,72,58,86,79,64,37,40,34,23,45,34,7,7,10,16,10,3
173,5000000,80,78,80,80,85,84,81,50,86,73,88,68,80,77,79,90,67,87,76,81,77,59,76,38,67,57,41,49,37,10,9,5,12,15,1
174,13000000,76,77,81,82,82,74,80,75,80,76,81,91,81,74,76,86,69,85,75,75,72,74,84,70,75,81,82,90,63,13,8,15,10,12,1
175,8000000,23,10,12,19,17,11,75,10,15,46,50,10,31,27,48,31,51,40,34,57,80,10,24,10,19,15,15,21,19,81,84,84,72,84,2
176,15000000,84,81,67,68,75,77,84,76,75,84,87,78,86,83,75,91,58,84,67,82,79,68,77,73,82,82,79,70,77,13,13,15,15,13,1
177,14000000,88,84,58,62,66,52,84,75,70,86,80,78,89,86,76,76,66,82,68,80,68,60,72,69,72,78,76,72,70,8,5,4,10,7,1
178,25000000,79,77,82,80,84,78,82,68,78,72,64,83,74,66,78,92,74,62,89,75,68,53,68,54,53,80,59,66,49,15,11,14,10,7,1
